index,title,author,dynasty,content,favor
47,茅屋为秋风所破歌,杜甫,唐,八月秋高风怒号，卷我屋上三重茅。茅飞渡江洒江郊，高者挂罥长林梢，下者飘转沉塘坳。南村群童欺我老无力，忍能对面为盗贼。公然抱茅入竹去，唇焦口燥呼不得，归来倚杖自叹息。俄顷风定云墨色，秋天漠漠向昏黑。布衾多年冷似铁，娇儿恶卧踏里裂。床头屋漏无干处，雨脚如麻未断绝。自经丧乱少睡眠，长夜沾湿何由彻！安得广厦千万间，大庇天下寒士俱欢颜！风雨不动安如山。呜呼！何时眼前突兀见此屋，吾庐独破受冻死亦足！,96.0
48,梦李白二首（其一）,杜甫,唐,落月满屋梁，犹疑照颜色。水深波浪阔，无使蛟龙得。故人入我梦，明我长相忆。恐非平生魂，路远不可测。魂来枫林青，魂返关塞黑。君今在罗网，何以有羽翼。死别已吞声，生别常恻恻。江南瘴疠地，逐客无消息。,245.0
49,贫交行,杜甫,唐,翻手作云覆手雨，纷纷轻薄何须数。君不见管鲍贫时交，此道今人弃如土。,220.0
50,前出塞九首,杜甫,唐,从军十年余，能无分寸功。欲轻肠断声，心绪乱已久。生死向前去，不劳吏怒嗔。磨刀呜咽水，水赤刃伤手。丈夫四方志，安可辞固穷。出门日已远，不受徒旅欺。送徒既有长，远戍亦有身。戚戚去故里，悠悠赴交河。骨肉恩岂断，男儿死无时。迢迢万里余，领我赴三军。已去汉月远，何时筑城还。潜身备行列，一胜何足论。哀哉两决绝，不复同苦辛。浮云暮南征，可望不可攀。雄剑四五动，彼军为我奔。君已富土境，开边一何多。弃绝父母恩，吞声行负戈。径危抱寒石，指落层冰间。驱马天雨雪，军行入高山。公家有程期，亡命婴祸罗。射人先射马，擒贼先擒王。众人贵苟得，欲语羞雷同。苟能制侵陵，岂在多杀伤。中原有斗争，况在狄与戎。我始为奴仆，几时树功勋。丈夫誓许国，愤惋复何有！捷下万仞冈，俯身试搴旗。掳其名王归，系颈授辕门。路逢相识人，附书与六亲。军中异苦乐，主将宁尽闻。功名图麒麟，战骨当速朽。杀人亦有限，列国自有疆。隔河见胡骑，倏忽数百群。单于寇我垒，百里风尘昏。走马脱辔头，手中挑青丝。挽弓当挽强，用箭当用长。,594.0
51,秋兴八首,杜甫,唐,波漂菰米沉云黑，露冷莲房坠粉红。织女机丝虚夜月，石鲸鳞甲动秋风。丛菊两开他日泪，孤舟一系故园心。夔府孤城落日斜，每依北斗望京华。一卧沧江惊岁晚，几回青琐点朝班。请看石上藤萝月，已映洲前芦荻花。彩笔昔曾干气象，白头吟望苦低垂。匡衡抗疏功名薄，刘向传经心事违。寒衣处处催刀尺，白帝城高急暮砧。千家山郭静朝晖，日日江楼坐翠微。闻道长安似弈棋，百年世事不胜悲。香稻啄馀鹦鹉粒，碧梧栖老凤凰枝。江间波浪兼天涌，塞上风云接地阴。云移雉尾开宫扇，日绕龙鳞识圣颜。蓬莱宫阙对南山，承露金茎霄汉间。关塞极天惟鸟道，江湖满地一渔翁。画省香炉违伏枕，山楼粉堞隐悲笳。佳人拾翠春相问，仙侣同舟晚更移。西望瑶池降王母，东来紫气满函关。听猿实下三声泪，奉使虚随八月槎。回首可怜歌舞地，秦中自古帝王州。王侯第宅皆新主，文武衣冠异昔时。瞿塘峡口曲江头，万里风烟接素秋。花萼夹城通御气，芙蓉小苑入边愁。直北关山金鼓振，征西车马羽书驰。信宿渔人还泛泛，清秋燕子故飞飞。珠帘绣柱围黄鹄，锦缆牙樯起白鸥。昆明池水汉时功，武帝旌旗在眼中。昆吾御宿自逶迤，紫阁峰阴入渼陂。鱼龙寂寞秋江冷，故国平居有所思。同学少年多不贱，五陵衣马自轻肥。玉露凋伤枫树林，巫山巫峡气萧森。,880.0
52,秋雨叹三首,杜甫,唐,雨中百草秋烂死，阶下决明颜色鲜。老夫不出长蓬蒿，稚子无忧走风雨。凉风萧萧吹汝急，恐汝后时难独立。城中斗米换衾禂，相许宁论两相值？长安布衣谁比数？反锁衡门守环堵。去马来牛不复辨，浊泾清渭何当分？著叶满枝翠羽盖，开花无数黄金钱。堂上书生空白头，临风三嗅馨香泣。阑风长雨秋纷纷，四海八荒同一云。秋来未曾见白日，泥污后土何时干？禾头生耳黍穗黑，农夫田妇无消息。雨声飕飕催早寒，胡雁翅湿高飞难。,38.0
53,去蜀,杜甫,唐,五载客蜀郡，一年居梓州。如何关塞阻，转作潇湘游？安危大臣在，不必泪长流。世事已黄发，残生随白鸥。,865.0
54,去矣行,杜甫,唐,野人旷荡无靦颜，岂可久在王侯间。焉能作堂上燕，衔泥附炎热。君不见鞲上鹰，一饱即飞掣！未试囊中餐玉法，明朝且入蓝田山。,514.0
55,日暮,杜甫,唐,石泉流暗壁，草露滴秋根。风月自清夜，江山非故园。牛羊下来久，各已闭柴门。头白灯明里，何须花烬繁。,150.0
56,石壕吏,杜甫,唐,吏呼一何怒，妇啼一何苦。天明登前途，独与老翁别。暮投石壕村，有吏夜捉人。夜久语声绝，如闻泣幽咽。有孙母未去，出入无完裙。一男附书至，二男新战死。室中更无人，惟有乳下孙。急应河阳役，犹得备晨炊。存者且偷生，死者长已矣。老妪力虽衰，请从吏夜归。老翁逾墙走，老妇出门看。听妇前致词，三男邺城戍。,278.0
